Date,Country,Confirmed,Recovered,Deaths,2022 Population,Cases_per_100k
2022-04-16,Thailand,4029959,0,26882,71697030,5620.82
2022-04-16,Iraq,2323040,0,25198,44496122,5220.77
2022-04-16,Dominican Republic,578733,0,4375,11228821,5154.0
2022-04-16,Ecuador,865585,0,35513,18001000,4808.54
2022-04-16,Guatemala,837492,0,17427,17843908,4693.43
2022-04-16,Jamaica,129203,0,2926,2827377,4569.71
2022-04-16,Mexico,5726668,0,323938,127504125,4491.36
2022-04-16,Honduras,421268,0,10888,10432860,4037.9
2022-04-16,Nepal,978654,0,11951,30547580,3203.7
2022-04-16,Philippines,3682847,0,59964,115559009,3186.98
2022-04-16,Morocco,1164345,0,16062,37457971,3108.4
2022-04-16,India,43042097,0,521751,1417173173,3037.18
2022-04-16,Sri Lanka,662827,0,16495,21832143,3036.01
2022-04-16,Kyrgyzstan,200980,0,2991,6630623,3031.09
2022-04-16,Laos,199868,0,714,7529475,2654.47
2022-04-16,Sao Tome and Principe,5948,0,73,227380,2615.89
2022-04-16,El Salvador,162089,0,4125,6336392,2558.06
2022-04-16,Kiribati,3071,0,13,131232,2340.13
2022-04-16,Indonesia,6039266,0,155844,275501339,2192.1
2022-04-16,Samoa,4793,0,10,222382,2155.3
2022-04-16,Saudi Arabia,752479,0,9068,36408820,2066.75
2022-04-16,Gabon,47594,0,303,2388992,1992.22
2022-04-16,Vanuatu,6314,0,7,326740,1932.42
2022-04-16,Venezuela,522034,0,5701,28301696,1844.53
2022-04-16,Solomon Islands,12437,0,139,724273,1717.17
2022-04-16,Timor-Leste,22853,0,130,1341296,1703.8
2022-04-16,Zambia,318467,0,3973,20017675,1590.93
2022-04-16,Zimbabwe,247237,0,5462,16320537,1514.88
2022-04-16,Lesotho,32968,0,697,2305825,1429.77
2022-04-16,Djibouti,15598,0,189,1120849,1391.62
2022-04-16,Mauritania,58681,0,982,4736139,1239.01
2022-04-16,Bangladesh,1952275,0,29124,171186372,1140.44
2022-04-16,Myanmar,612545,0,19434,54179306,1130.59
2022-04-16,Comoros,8100,0,160,836774,968.0
2022-04-16,Equatorial Guinea,15906,0,183,1674908,949.66
2022-04-16,Rwanda,129760,0,1459,13776698,941.88
2022-04-16,Cambodia,136044,0,3055,16767842,811.34
2022-04-16,Uzbekistan,238252,0,1637,34627652,688.04
2022-04-16,Mozambique,225323,0,2200,32969517,683.43
2022-04-16,Pakistan,1527248,0,30363,235824862,647.62
2022-04-16,Kenya,323609,0,5649,54027487,598.97
2022-04-16,Algeria,265739,0,6874,44903225,591.8
2022-04-16,Senegal,85967,0,1965,17316449,496.45
2022-04-16,Ghana,161101,0,1445,33475870,481.25
2022-04-16,Egypt,511977,0,24522,110990103,461.28
2022-04-16,Gambia,11994,0,365,2705992,443.24
2022-04-16,Afghanistan,178387,0,7676,41128771,433.73
2022-04-16,Papua New Guinea,43660,0,649,10142619,430.46
2022-04-16,Cameroon,119780,0,1927,27914536,429.1
2022-04-16,Malawi,85727,0,2631,20405317,420.12
2022-04-16,Togo,36962,0,273,8848699,417.71
2022-04-16,Republic of the Congo,24079,0,385,5970424,403.3
2022-04-16,Guinea-Bissau,8176,0,170,2105566,388.3
2022-04-16,Ethiopia,470259,0,7509,123379924,381.15
2022-04-16,Uganda,164051,0,3597,47249585,347.2
2022-04-16,Burundi,38722,0,38,12889576,300.41
2022-04-16,Ivory Coast,81857,0,797,28160542,290.68
2022-04-16,Angola,99194,0,1900,35588987,278.72
2022-04-16,Nicaragua,18491,0,232,6948392,266.12
2022-04-16,Eritrea,9733,0,103,3684032,264.19
2022-04-16,Haiti,30594,0,835,11584996,264.08
2022-04-16,Guinea,36502,0,440,13859341,263.37
2022-04-16,Central African Republic,14649,0,113,5579144,262.57
2022-04-16,Syria,55769,0,3149,22125249,252.06
2022-04-16,Madagascar,64089,0,1390,29611714,216.43
2022-04-16,Benin,26952,0,163,13352864,201.84
2022-04-16,Tajikistan,17786,0,125,9952787,178.7
2022-04-16,South Sudan,17369,0,138,10913164,159.16
2022-04-16,Somalia,26471,0,1361,17597511,150.42
2022-04-16,Liberia,7402,0,294,5302681,139.59
2022-04-16,Taiwan,33205,0,854,23893394,138.97
2022-04-16,Mali,30651,0,729,22593590,135.66
2022-04-16,Sudan,62057,0,4929,46874204,132.39
2022-04-16,China,1760211,0,13748,1425887337,123.45
2022-04-16,Nigeria,255648,0,3143,218541212,116.98
2022-04-16,Burkina Faso,20865,0,383,22673762,92.02
2022-04-16,Sierra Leone,7681,0,125,8605718,89.25
2022-04-16,DR Congo,87023,0,1337,99010212,87.89
2022-04-16,Tanzania,33851,0,803,65497748,51.68
2022-04-16,Chad,7378,0,192,17723315,41.63
2022-04-16,Yemen,11817,0,2148,33696614,35.07
2022-04-16,Niger,8871,0,308,26207977,33.85
2022-04-16,Marshall Islands,7,0,0,41569,16.84
2022-04-16,Micronesia,1,0,0,114164,0.88
